GENE	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
NEK11	6.59153336027527e-18	1.05142947826015	0.511	0.126	0.000000000000135864685621994	1	NEK11
TNNT2	7.00920712840067e-18	2.51869434652354	0.266	0.034	0.000000000000144473777330595	1	TNNT2
LY6E	7.09888663691882e-18	2.90465423166513	0.255	0.03	0.000000000000146322251360171	1	LY6E
NRCAM1	7.12114325927028e-18	0.649148183304848	0.872	0.354	0.000000000000146781004860079	1	NRCAM
UBE2QL1	7.13345264690979e-18	2.35399861588219	0.277	0.037	0.000000000000147034725958104	1	UBE2QL1
PLCB11	7.87353847147225e-18	0.732184297434612	0.904	0.404	0.000000000000162289374973986	1	PLCB1
ICA11	8.25976605580142e-18	1.20986170651778	0.564	0.165	0.000000000000170250297942179	1	ICA1
HPCAL4	8.97537519831822e-18	2.54981920287079	0.255	0.03	0.000000000000185000433587735	1	HPCAL4
ADGRB2	9.53983207504873e-18	2.20205468496521	0.309	0.049	0.000000000000196635018730904	1	ADGRB2
AC005237.4	9.92469355143954e-18	1.85520407637807	0.309	0.047	0.000000000000204567783482272	1	AC005237.4
EPHA3	1.11036458697122e-17	1.55524779902733	0.404	0.086	0.000000000000228868348666508	1	EPHA3
HIPK4	1.23041595502996e-17	2.16251650445173	0.298	0.045	0.000000000000253613336650776	1	HIPK4
SNCA	1.36080921586645e-17	0.918478713476543	0.628	0.189	0.000000000000280489995574393	1	SNCA
LONRF21	1.38314773436922e-17	1.45463977888765	0.521	0.152	0.000000000000285094411008184	1	LONRF2
SCN1A1	1.39723108102792e-17	0.706932798785572	0.649	0.195	0.000000000000287997270421476	1	SCN1A
NR2F1-AS11	1.42717826260642e-17	1.14056621452065	0.649	0.227	0.000000000000294169983488435	1	NR2F1-AS1
RP11-114G22.1	1.4427547142337e-17	2.05211105720445	0.287	0.04	0.000000000000297380601697851	1	RP11-114G22.1
MPPED1	1.53529564812066e-17	1.54752289018367	0.404	0.088	0.00000000000031645513899063	1	MPPED1
KCTD11	1.72107025072198e-17	1.20868972379632	0.521	0.138	0.000000000000354747000078814	1	KCTD1
TMEM130	1.80756615001408e-17	1.73059758928641	0.362	0.071	0.000000000000372575534840903	1	TMEM130
RNF175	1.82256815952736e-17	1.48130292649262	0.436	0.101	0.00000000000037566774904178	1	RNF175
COL6A1	1.83498623185277e-17	1.45287576459907	0.426	0.098	0.000000000000378227362109492	1	COL6A1
RP1-78O14.11	1.83674994416064e-17	1.20082411025264	0.479	0.116	0.00000000000037859089849039	1	RP1-78O14.1
ZFYVE281	2.10945219341414e-17	0.860530078872576	0.638	0.19	0.000000000000434800286106522	1	ZFYVE28
PRB2	2.47907811207134e-17	1.69073380269033	0.351	0.067	0.000000000000510987580460144	1	PRB2
CBLN2	2.63964020130598e-17	1.88943720628045	0.351	0.067	0.000000000000544082638293189	1	CBLN2
KIAA03191	2.78699819641715e-17	1.28319548705999	0.521	0.148	0.000000000000574456068245502	1	KIAA0319
STXBP5-AS1	3.05524655905068e-17	1.29549875413792	0.479	0.121	0.000000000000629747420751525	1	STXBP5-AS1
PHYHIP	3.26084097826166e-17	1.93974548126934	0.33	0.057	0.000000000000672124542439294	1	PHYHIP
HLF	3.34917225722196e-17	1.7173464939342	0.362	0.071	0.000000000000690331385658591	1	HLF
GLT1D1	3.4587614311634e-17	1.61899669894225	0.404	0.091	0.0000000000007129199061914	1	GLT1D1
PLEKHA61	3.56373956411855e-17	0.838203185279038	0.734	0.253	0.000000000000734557998956116	1	PLEKHA6
HOMER11	3.80341073257144e-17	0.927373465976368	0.638	0.195	0.000000000000783959020197624	1	HOMER1
EPHB6	3.89384470819782e-17	1.56389419630801	0.372	0.076	0.000000000000802599271253734	1	EPHB6
GNB51	3.98299400024429e-17	1.09446459617583	0.511	0.14	0.000000000000820974723330354	1	GNB5
FOCAD1	4.00094686086732e-17	0.892978457983596	0.798	0.29	0.000000000000824675166961973	1	FOCAD
ELK4	4.04676908430479e-17	1.1796877129773	0.447	0.108	0.000000000000834120043656903	1	ELK4
CCPG11	4.08562200159577e-17	0.904642351377642	0.766	0.286	0.000000000000842128406968921	1	CCPG1
SNTB21	4.32626302747731e-17	1.17450439573919	0.511	0.135	0.000000000000891729335223623	1	SNTB2
NEFL	4.68896332457004e-17	2.52959475068062	0.362	0.074	0.000000000000966489120460377	1	NEFL
SLC2A131	4.72027448802438e-17	0.802455996765788	0.734	0.258	0.000000000000972942977471585	1	SLC2A13
GLB1L3	4.95970439995209e-17	2.00460960879136	0.287	0.044	0.00000000000102229427091812	1	GLB1L3
MAN1A1	5.69049373950143e-17	0.977936655167085	0.436	0.104	0.00000000000117292456958603	1	MAN1A1
DGKB1	5.69877649590609e-17	1.08707295720421	0.649	0.226	0.00000000000117463181133616	1	DGKB
CHRM3-AS2	5.83153059769242e-17	1.69589790748092	0.33	0.057	0.00000000000120199508679636	1	CHRM3-AS2
LINC01252	6.1017058461782e-17	1.06643926466873	0.394	0.081	0.00000000000125768360901425	1	LINC01252
KIF3C	6.17932226201144e-17	1.32700498321886	0.489	0.13	0.0000000000012736819046458	1	KIF3C
VWC2L	6.2510479572137e-17	1.3605534624788	0.415	0.093	0.00000000000128846600494089	1	VWC2L
PWAR61	6.47923803751613e-17	1.28107422871466	0.617	0.199	0.00000000000133550054429282	1	PWAR6
NCEH11	7.31301338608358e-17	1.35491225386981	0.479	0.128	0.00000000000150735831913955	1	NCEH1
FRRS1L1	7.60222106514276e-17	1.20152066277628	0.5	0.131	0.00000000000156696980594722	1	FRRS1L
UNC13C	7.87585251016332e-17	1.19847103069118	0.404	0.089	0.00000000000162337071939486	1	UNC13C
CTD-2269F5.1	8.30935822886275e-17	1.11929235748907	0.436	0.101	0.00000000000171272491813319	1	CTD-2269F5.1
ARMC91	8.78433314205608e-17	0.917315050231774	0.734	0.266	0.0000000000018106267472406	1	ARMC9
GALNTL61	1.01383095409692e-16	0.44565616311294	0.67	0.222	0.00000000000208970836258457	1	GALNTL6
RP11-317J19.11	1.05393473143876e-16	1.16129461999036	0.543	0.162	0.00000000000217237026844157	1	RP11-317J19.1
GDA1	1.17272333399518e-16	1.23458323562803	0.468	0.121	0.00000000000241721733603086	1	GDA
DIRAS2	1.21978792760196e-16	1.66962308697825	0.351	0.069	0.00000000000251422687637316	1	DIRAS2
PCSK1N1	1.22121178644298e-16	1.30166881723196	0.66	0.217	0.00000000000251716173421627	1	PCSK1N
P2RY14	1.34393789678987e-16	1.27252973295776	0.447	0.109	0.00000000000277012479286327	1	P2RY14
KCNT1	1.35301253533975e-16	1.53749592126888	0.394	0.088	0.00000000000278882943784229	1	KCNT1
ADCY91	1.4023572168171e-16	0.900999732994979	0.649	0.205	0.0000000000028905386953034	1	ADCY9
SLIT11	1.61421646616771e-16	0.990663354610274	0.521	0.148	0.00000000000332722298006488	1	SLIT1
JAKMIP1	1.74777279738965e-16	1.76821079301427	0.394	0.091	0.00000000000360250928997954	1	JAKMIP1
CHL11	1.87901738953063e-16	0.873043231897522	0.649	0.207	0.00000000000387303064330053	1	CHL1
CHGA	1.97797361046774e-16	1.79121859712444	0.362	0.077	0.00000000000407699920589611	1	CHGA
ADARB1	2.15661303560907e-16	1.38668693388242	0.383	0.081	0.00000000000444521078899742	1	ADARB1
AC007246.31	2.23279995289037e-16	0.835007362419457	0.723	0.249	0.00000000000460224726289763	1	AC007246.3
LINC01378	2.3535547232444e-16	1.87933090867632	0.351	0.071	0.00000000000485114699555136	1	LINC01378
LINC009371	2.54415458420548e-16	1.22548918966122	0.596	0.194	0.00000000000524401142896433	1	LINC00937
CDKL51	2.58527242062955e-16	0.848127798668541	0.734	0.266	0.00000000000532876351340164	1	CDKL5
GRIA21	2.90815910744697e-16	0.723932680388706	0.915	0.475	0.0000000000059942975522697	1	GRIA2
EPB41L4B	3.03996301510384e-16	1.71559153401574	0.383	0.088	0.00000000000626597176673204	1	EPB41L4B
CKMT1B	3.33656011420948e-16	1.58070599173512	0.372	0.082	0.00000000000687731770740859	1	CKMT1B
CPNE5	3.4885580571344e-16	1.43125142514589	0.394	0.089	0.00000000000719061586736543	1	CPNE5
RP3-525N10.21	3.51008121983267e-16	0.927292684137832	0.649	0.219	0.00000000000723497941031909	1	RP3-525N10.2
TMEM2321	3.63953310286734e-16	0.962675016792868	0.691	0.253	0.00000000000750180563163016	1	TMEM232
PDE4A	3.95945796541206e-16	1.47095956838152	0.383	0.086	0.00000000000816123475830734	1	PDE4A
KIAA1456	4.12313218498769e-16	1.37821757918147	0.415	0.098	0.00000000000849860005969663	1	KIAA1456
RP11-778J15.11	4.14679652734025e-16	0.825867622101431	0.723	0.254	0.00000000000854737700215372	1	RP11-778J15.1
C9orf16	4.38866600161238e-16	1.93319510705242	0.394	0.093	0.00000000000904591836252345	1	C9orf16
SLC8B11	4.95968962277265e-16	0.885945755960676	0.574	0.173	0.000000000010222912250459	1	SLC8B1
LPCAT4	5.17778977367689e-16	1.50636627340956	0.372	0.084	0.0000000000106724602815028	1	LPCAT4
PHLPP21	5.38908075575314e-16	0.874285162278251	0.585	0.178	0.0000000000111079732537584	1	PHLPP2
DANT21	5.94770951803476e-16	0.819295295224873	0.798	0.322	0.0000000000122594188585732	1	DANT2
LRTM1	6.32412190135535e-16	1.53600342306414	0.362	0.076	0.0000000000130352800630736	1	LRTM1
CTC-459F4.31	6.87491882368184e-16	1.10797373632674	0.511	0.143	0.000000000014170582679373	1	CTC-459F4.3
NISCH1	7.59565390479757e-16	1.12675682280702	0.511	0.146	0.0000000000156561618285687	1	NISCH
XKR61	8.30912349019641e-16	0.734927276627457	0.84	0.34	0.0000000000171267653379928	1	XKR6
ITPR11	8.39656334146976e-16	0.871694985374465	0.628	0.215	0.0000000000173069963594375	1	ITPR1
SULT4A1	8.45877145003404e-16	1.78040732792111	0.309	0.056	0.0000000000174352197128102	1	SULT4A1
PSD	8.48881828399394e-16	1.72427015116157	0.362	0.081	0.0000000000174971522469683	1	PSD
RP11-675F6.3	8.60979936278921e-16	1.81315776379327	0.298	0.052	0.0000000000177465184465811	1	RP11-675F6.3
CACNG21	8.61011426522972e-16	0.994309593850466	0.468	0.121	0.0000000000177471675234915	1	CACNG2
SGSM11	1.03945141697024e-15	1.0893642238599	0.521	0.155	0.0000000000214251726065906	1	SGSM1
KLC2	1.0640147295753e-15	1.88948959981055	0.277	0.044	0.0000000000219314716060062	1	KLC2
NETO11	1.10157014133807e-15	1.00662481424829	0.5	0.138	0.0000000000227055637532603	1	NETO1
RAPGEF21	1.14244150128569e-15	0.78519928177494	0.851	0.36	0.0000000000235480042245006	1	RAPGEF2
TCEAL2	1.14455944657323e-15	2.00745592657095	0.309	0.056	0.0000000000235916593127675	1	TCEAL2
RP11-32K4.11	1.18957436699795e-15	1.10047425980383	0.596	0.2	0.0000000000245195068525618	1	RP11-32K4.1
SNX321	1.22243056006168e-15	1.08567661120545	0.489	0.138	0.0000000000251967387039913	1	SNX32
EPHA7	1.23011143855954e-15	1.48843422875171	0.351	0.074	0.0000000000253550569715892	1	EPHA7
RP11-315E17.11	1.25628730096865e-15	1.05589649734732	0.521	0.153	0.0000000000258945938475659	1	RP11-315E17.1
MEG81	1.3610658755501e-15	1.15034781699328	0.489	0.131	0.0000000000280542898268386	1	MEG8
ERICH3	1.36397949908167e-15	1.94587980612522	0.309	0.057	0.0000000000281143454350714	1	ERICH3
STMN21	1.39962116115492e-15	1.74114987727471	0.468	0.133	0.0000000000288489913737252	1	STMN2
CDH7	1.53432618812251e-15	1.84004988513047	0.277	0.044	0.0000000000316255313895811	1	CDH7
RP11-192H23.61	1.59996315009589e-15	0.936393170633191	0.606	0.194	0.0000000000329784404497765	1	RP11-192H23.6
DYNC1I1	1.60529481834768e-15	0.664407928653688	0.819	0.31	0.0000000000330883367957823	1	DYNC1I1
RP11-701H24.91	1.68495322242587e-15	0.752493816264308	0.83	0.325	0.0000000000347302558206421	1	RP11-701H24.9
RAPGEFL11	1.69550794477456e-15	0.911756770301623	0.681	0.244	0.0000000000349478097576932	1	RAPGEFL1
TOX1	2.11673107735868e-15	1.10525418265787	0.543	0.175	0.0000000000436300609665171	1	TOX
ZNF804B	2.14414323326506e-15	1.45689363795921	0.426	0.109	0.0000000000441950803240593	1	ZNF804B
CA10	2.1956162313725e-15	1.04527166205379	0.394	0.088	0.0000000000452560417610499	1	CA10
NR2F1	2.23505177759832e-15	1.24239803218813	0.383	0.084	0.0000000000460688872398566	1	NR2F1
MYH101	2.51894219917294e-15	0.911044075324694	0.66	0.229	0.0000000000519204366093527	1	MYH10
RP11-295K2.31	2.5295330489776e-15	1.00880954677041	0.5	0.14	0.0000000000521387352055264	1	RP11-295K2.3
CNST1	2.74617002219335e-15	0.98427680598861	0.521	0.153	0.0000000000566040564974494	1	CNST
LINC00970	2.7717312421656e-15	1.1958117205501	0.415	0.101	0.0000000000571309243635173	1	LINC00970
SLC8A2	2.93670471422203e-15	1.7608977288927	0.319	0.062	0.0000000000605313575695444	1	SLC8A2
EPB41L3	3.04621952656327e-15	0.741959262300199	0.67	0.226	0.000000000062788676881522	1	EPB41L3
DCC1	3.30995692839035e-15	0.994598479479085	0.681	0.308	0.000000000068224832207982	1	DCC
GPR1581	3.36191959571608e-15	0.873266518586567	0.638	0.226	0.0000000000692958867068999	1	GPR158
MATK	3.42785167485354e-15	2.00816699694787	0.277	0.045	0.0000000000706548787220812	1	MATK
MLLT31	3.73110201356817e-15	0.831212178649935	0.798	0.328	0.0000000000769054747036671	1	MLLT3
TSC22D11	3.88159621461972e-15	0.800108670882511	0.83	0.333	0.0000000000800074611757416	1	TSC22D1
PRR16	4.00227845018701e-15	1.60831618124705	0.34	0.074	0.0000000000824949634152547	1	PRR16
PLEKHA51	4.44897480373464e-15	0.782698156331916	0.787	0.332	0.0000000000917022686545784	1	PLEKHA5
SMYD2	4.58726008297271e-15	1.69329705219705	0.351	0.077	0.0000000000945526048302334	1	SMYD2
CRHR1	5.26162488716522e-15	1.00118902153881	0.511	0.146	0.00000000010845261217425	1	CRHR1
SYT12	5.50394288757432e-15	1.46581378489476	0.33	0.067	0.000000000113447270798682	1	SYT12
RAB40C	5.63552571792337e-15	1.43439589451203	0.436	0.118	0.000000000116159456097837	1	RAB40C
PLXNA41	5.8220702664068e-15	0.867052121811903	0.596	0.195	0.000000000120004512331177	1	PLXNA4
FSTL51	5.89406050112689e-15	0.700833547968809	0.564	0.178	0.000000000121488375049228	1	FSTL5
SVOP	6.2899203419958e-15	1.26353160908189	0.404	0.099	0.000000000129647838089217	1	SVOP
IGSF21	6.417493247324e-15	1.48781765896019	0.372	0.088	0.000000000132277370813842	1	IGSF21
PARP81	6.56487584822557e-15	1.05822652138488	0.479	0.136	0.000000000135315220983625	1	PARP8
CRLF11	6.69165449591994e-15	1.00694021712357	0.574	0.192	0.000000000137928382469902	1	CRLF1
CRYM	6.79021062459986e-15	1.65033893792874	0.426	0.111	0.000000000139959821394252	1	CRYM
AC007563.5	6.82537674987362e-15	1.37947799090765	0.383	0.091	0.000000000140684665568395	1	AC007563.5
PI4KA1	6.92559923214804e-15	0.770500238718011	0.83	0.342	0.000000000142750451373035	1	PI4KA
MLXIPL	7.09012211940294e-15	1.22943625702627	0.372	0.084	0.000000000146141597125133	1	MLXIPL
MPP7	7.19745737388948e-15	1.59592870891442	0.34	0.074	0.00000000014835399139061	1	MPP7
SETBP11	7.74200835271349e-15	0.741965076788823	0.734	0.276	0.000000000159578276166131	1	SETBP1
GALNT111	7.89932346220559e-15	0.97187349218134	0.596	0.194	0.000000000162820855202982	1	GALNT11
BZRAP1	8.19956784082491e-15	1.46620788447794	0.362	0.082	0.000000000169009492335083	1	BZRAP1
PPFIA4	8.41318973368381e-15	1.21597827236971	0.394	0.094	0.000000000173412666790691	1	PPFIA4
FAIM2	8.84727253394201e-15	1.11403072275869	0.521	0.157	0.000000000182359981469613	1	FAIM2
LNX1	9.36143686551444e-15	1.31610836074471	0.383	0.091	0.000000000192957936671984	1	LNX1
TRPM2	9.61994402122072e-15	1.5031419309353	0.298	0.054	0.000000000198286286165401	1	TRPM2
SH3BGRL2	0.0000000000000104583809008618	1.36653553736217	0.372	0.088	0.000000000215568147128564	1	SH3BGRL2
ARHGAP261	0.0000000000000105227294272061	0.694519731533236	0.809	0.34	0.000000000216894498953573	1	ARHGAP26
SULT1A11	0.0000000000000113275087947872	1.26297263386435	0.468	0.136	0.000000000233482611278154	1	SULT1A1
NLRP11	0.0000000000000124289748791536	0.969177536372377	0.521	0.16	0.000000000256186030209113	1	NLRP1
SPAG161	0.0000000000000128147165363547	0.746076081739897	0.819	0.337	0.000000000264136937247342	1	SPAG16
PDP1	0.0000000000000133036557603638	1.93903509528174	0.309	0.062	0.000000000274214952532618	1	PDP1
ME31	0.0000000000000148155530899903	1.242588775014	0.5	0.157	0.000000000305378180290879	1	ME3
TNR1	0.0000000000000155355001539103	0.334856286028948	0.617	0.202	0.0000000003202177291724	1	TNR
PPIP5K11	0.0000000000000159021715335892	0.856688671709907	0.553	0.17	0.00000000032777555965034	1	PPIP5K1
PREPL1	0.0000000000000168066848092628	0.708924146034274	0.755	0.281	0.000000000346419387288526	1	PREPL
CLSTN11	0.000000000000017073087326341	0.833483450598775	0.681	0.253	0.000000000351910475970541	1	CLSTN1
C1orf216	0.0000000000000172664216300142	1.56237478150545	0.287	0.052	0.000000000355895482637853	1	C1orf216
FAM135B1	0.0000000000000176462992964366	1.12301815394129	0.511	0.16	0.000000000363725521098151	1	FAM135B
CYFIP21	0.0000000000000188325758278887	1.22751903197349	0.521	0.163	0.000000000388177052964442	1	CYFIP2
SCAI1	0.0000000000000195710984997364	0.825326065302282	0.723	0.283	0.000000000403399482276567	1	SCAI
LARGE1	0.0000000000000220939891071777	0.738702336822023	0.862	0.428	0.000000000455401303477146	1	LARGE
PKD11	0.0000000000000226069205848728	0.803062924179061	0.702	0.271	0.000000000465973847095398	1	PKD1
KCNK1	0.0000000000000245413747724658	0.906711518234911	0.489	0.143	0.000000000505846816810065	1	KCNK1
MAGI31	0.000000000000024616657572943	0.776570339849403	0.702	0.263	0.000000000507398545893501	1	MAGI3
SEMA6D1	0.0000000000000249412975274561	1.01642201529114	0.489	0.146	0.000000000514090024635925	1	SEMA6D
CDC25B1	0.0000000000000269594085697085	0.885684151860854	0.532	0.167	0.000000000555687329438831	1	CDC25B
KCND21	0.0000000000000269748640758589	0.297169048080415	0.713	0.254	0.000000000556005898331604	1	KCND2
TENM41	0.0000000000000299984353400162	0.817528010570719	0.723	0.288	0.000000000618327749228415	1	TENM4
NUAK1	0.0000000000000334154011628142	0.871825994616697	0.489	0.14	0.000000000688758248767926	1	NUAK1
GRM81	0.0000000000000355320328310537	0.887441058149402	0.585	0.194	0.00000000073238626071368	1	GRM8
CTNNA21	0.0000000000000359623036563676	0.736858480576486	0.915	0.5	0.00000000074125500296505	1	CTNNA2
NCS1	0.0000000000000379554437701415	1.26027463653382	0.394	0.098	0.000000000782337606990157	1	NCS1
AJAP1	0.0000000000000387631158285817	1.19572273622555	0.383	0.094	0.000000000798985343458726	1	AJAP1
MAPK101	0.0000000000000399812757794121	0.698396065640972	0.894	0.505	0.000000000824094056365243	1	MAPK10
MAST11	0.0000000000000409014906680691	1.12934598101783	0.479	0.143	0.000000000843061525650241	1	MAST1
TCERG1L	0.0000000000000410496481169901	1.10577575191081	0.362	0.081	0.0000000008461153469874	1	TCERG1L
PNMA3	0.0000000000000410792308473965	1.67446905370921	0.34	0.076	0.000000000846725106226537	1	PNMA3
RP5-896L10.1	0.000000000000046634792740268	1.26412418035625	0.33	0.071	0.000000000961236347962404	1	RP5-896L10.1
ANO5	0.0000000000000469789152893052	1.52271016398997	0.372	0.094	0.000000000968329401943158	1	ANO5
SV2A	0.0000000000000480254430741357	1.1502044988168	0.415	0.113	0.000000000989900432644085	1	SV2A
CERS61	0.0000000000000489814494588448	0.703977544413103	0.691	0.247	0.00000000100960563624571	1	CERS6
GOLGA7B	0.000000000000051056757505695	1.84716266061435	0.277	0.051	0.00000000105238188570738	1	GOLGA7B
SNX10	0.0000000000000539507717500779	1.33854268840214	0.362	0.086	0.00000000111203330731261	1	SNX10
REEP11	0.000000000000057520653644592	0.846423428657448	0.5	0.145	0.00000000118561571292233	1	REEP1
BRSK2	0.0000000000000610076401504867	0.984889024428043	0.383	0.093	0.00000000125748947878183	1	BRSK2
HIVEP21	0.0000000000000639724708427067	0.839338626483571	0.585	0.202	0.00000000131860056900987	1	HIVEP2
FILIP1L1	0.0000000000000642550218603508	0.904056475260664	0.596	0.209	0.00000000132442451058555	1	FILIP1L
KIAA1107	0.0000000000000680020386024093	1.30394423121139	0.372	0.094	0.00000000140165801967286	1	KIAA1107
MAP21	0.0000000000000728219314246245	0.413894983509696	0.926	0.399	0.00000000150100565052436	1	MAP2
CEMIP	0.000000000000074612508096677	1.40193629814623	0.319	0.069	0.00000000153791301688871	1	CEMIP
ODF2L	0.0000000000000747424750773982	0.83098614677394	0.543	0.168	0.00000000154059189629533	1	ODF2L
CDH22	0.0000000000000842931487478953	1.5053727630453	0.319	0.071	0.00000000173745038199162	1	CDH22
FRY1	0.0000000000000881282228939218	0.880288244294156	0.606	0.209	0.00000000181649893028952	1	FRY
RASL10A	0.0000000000000883031097678696	1.59172035356234	0.255	0.044	0.00000000182010369853533	1	RASL10A
IL34	0.000000000000089877525288423	1.4563174532105	0.277	0.051	0.00000000185255555124497	1	IL34
CALY	0.0000000000000954843172691896	1.88807184876562	0.309	0.066	0.00000000196812274755254	1	CALY
STXBP51	0.0000000000000963977854213362	0.619696578857568	0.819	0.333	0.00000000198695115310458	1	STXBP5
NEBL1	0.000000000000100050347762873	0.539361002432575	0.681	0.253	0.00000000206223776808833	1	NEBL
NMT21	0.000000000000100170139251908	1.08049399629349	0.479	0.148	0.00000000206470691026033	1	NMT2
CADPS1	0.000000000000104976700264802	0.617346457175448	0.723	0.271	0.00000000216377974585809	1	CADPS
RP13-726E6.2	0.000000000000116523235452928	1.38458183136748	0.383	0.099	0.00000000240177692915576	1	RP13-726E6.2
KCNK10	0.000000000000125183101630344	1.71123006836764	0.277	0.052	0.00000000258027409080464	1	KCNK10
PRKG11	0.00000000000012570782040705	0.974524587291137	0.628	0.246	0.00000000259108959423012	1	PRKG1
RFTN1	0.000000000000141179983352729	1.41679842755565	0.351	0.084	0.00000000291000181686646	1	RFTN1
SEL1L3	0.000000000000145850522893665	1.4110501775073	0.309	0.064	0.00000000300627097788423	1	SEL1L3
DOK61	0.000000000000149330668381297	1.00468040508054	0.511	0.163	0.00000000307800373667529	1	DOK6
PPFIA2	0.000000000000153177385940905	0.640467843852547	0.894	0.433	0.00000000315729227901393	1	PPFIA2
YWHAH1	0.000000000000159168821257059	1.47485211928792	0.553	0.189	0.00000000328078774375049	1	YWHAH
ZNF483	0.000000000000174649592739695	0.794347456729459	0.617	0.222	0.0000000035998774055506	1	ZNF483
MAP7D2	0.000000000000176476453877972	1.21879690455786	0.372	0.094	0.00000000363753266733275	1	MAP7D2
C2CD51	0.00000000000018700832330475	0.624091127712201	0.702	0.259	0.0000000038546155599575	1	C2CD5
U91319.11	0.000000000000201159090758623	1.11273944569696	0.489	0.157	0.00000000414629117871674	1	U91319.1
IQCA1	0.000000000000210649906145256	1.14612014966614	0.362	0.088	0.00000000434191586546603	1	IQCA1
GRIK5	0.000000000000218656103942518	1.32517928462168	0.383	0.099	0.00000000450693961446318	1	GRIK5
SNAI3	0.000000000000234401753904234	1.37560597564188	0.351	0.088	0.00000000483148895147406	1	SNAI3
RUNX1T11	0.000000000000245374520530384	0.810832977048711	0.66	0.254	0.00000000505765961717228	1	RUNX1T1
LUZP11	0.000000000000273956044053958	1.05396416707174	0.489	0.157	0.00000000564678198004019	1	LUZP1
CCNI1	0.000000000000279247882374481	0.716826800723263	0.66	0.242	0.00000000575585735150281	1	CCNI
PDE4DIP1	0.000000000000279653529139702	0.578681560720487	0.936	0.487	0.00000000576421854262754	1	PDE4DIP
FHL2	0.00000000000027971253456706	1.75877485148258	0.277	0.054	0.00000000576543476249624	1	FHL2
ZNF519	0.000000000000282001970748213	0.896330991297815	0.447	0.128	0.00000000581262462106216	1	ZNF519
PTK7	0.000000000000286247412839588	1.18743959752004	0.319	0.069	0.00000000590013167344958	1	PTK7
NDRG41	0.000000000000296022287638314	1.17286703331274	0.521	0.173	0.00000000610161139280093	1	NDRG4
PTPN5	0.000000000000296292670391476	1.64374160694085	0.309	0.067	0.0000000061071845221091	1	PTPN5
CCK	0.000000000000300949985725404	1.3938094189183	0.362	0.091	0.00000000620318110577202	1	CCK
SIRPA	0.000000000000309257535891804	0.996511504574231	0.426	0.116	0.00000000637441632980187	1	SIRPA
MSC-AS1	0.000000000000326751688554562	1.62081551911202	0.266	0.051	0.00000000673500580448663	1	MSC-AS1
PDZRN31	0.000000000000333865171694669	1.069367309549	0.574	0.221	0.00000000688162891897051	1	PDZRN3
ZDBF2	0.000000000000348674421689764	1.7825794358963	0.34	0.088	0.00000000718687717986941	1	ZDBF2
ARHGAP321	0.000000000000420894015830427	0.754531892597478	0.745	0.338	0.00000000867546745429675	1	ARHGAP32
ARHGDIG	0.000000000000427287444033874	2.11177283079658	0.255	0.047	0.00000000880724879642622	1	ARHGDIG
DNAH6	0.000000000000443742851053788	1.08982394749513	0.415	0.114	0.00000000914642764592068	1	DNAH6
PPM1L1	0.000000000000518153199063776	0.652001863521445	0.723	0.303	0.0000000106801737391025	1	PPM1L
PLPPR4	0.000000000000523937687147884	1.31387551528417	0.372	0.098	0.0000000107994036074922	1	PLPPR4
XKR41	0.000000000000549123315505635	0.554955188933437	0.713	0.264	0.0000000113185297792022	1	XKR4
GLS1	0.000000000000579693505095337	0.591996834766426	0.723	0.263	0.0000000119486425270251	1	GLS
PDK31	0.000000000000585721634768412	1.06016567682034	0.479	0.153	0.0000000120728943358465	1	PDK3
RP11-142M10.2	0.000000000000604992988773459	1.21738208023285	0.319	0.072	0.0000000124701154845985	1	RP11-142M10.2
HMP19	0.000000000000630229733602852	1.14144625187219	0.383	0.101	0.000000012990295269022	1	HMP19
SPARCL11	0.000000000000642846586617152	0.306501802778132	0.904	0.37	0.0000000132503538433527	1	SPARCL1
MKNK11	0.000000000000659152165637073	0.887906523937309	0.489	0.158	0.0000000135864444381113	1	MKNK1
NEURL1	0.000000000000707526043643972	1.42593792446707	0.362	0.098	0.0000000145835268115896	1	NEURL1
EPB411	0.000000000000721861178388901	0.902131939388146	0.553	0.195	0.000000014879002608952	1	EPB41
FAM126B	0.000000000000762410220550241	0.75792222942644	0.628	0.234	0.0000000157147994659816	1	FAM126B
RP11-30J20.1	0.000000000000767274635157304	0.977240828179509	0.362	0.088	0.0000000158150647798624	1	RP11-30J20.1
RP5-1101C3.1	0.000000000000774224526954165	1.55261569375746	0.309	0.069	0.0000000159583159495792	1	RP5-1101C3.1
ADAMTS19	0.000000000000787841596057495	0.778487275183756	0.5	0.153	0.0000000162389909779371	1	ADAMTS19
GPC11	0.0000000000008084532544016	1.1962859726435	0.426	0.128	0.0000000166638384797258	1	GPC1
CYHR11	0.000000000000828370001418948	0.997088407860001	0.479	0.153	0.0000000170743624692474	1	CYHR1
DPF1	0.000000000000897241434874175	1.4074071151847	0.319	0.076	0.0000000184939404556265	1	DPF1
ADGRL11	0.000000000000925938687023142	1.04377009437951	0.5	0.168	0.000000019085448216921	1	ADGRL1
DMXL21	0.000000000000949148643304783	0.791490269513116	0.543	0.182	0.0000000195638518357982	1	DMXL2
PCNXL21	0.000000000000960343565199981	0.680695673893472	0.777	0.313	0.000000019794601565902	1	PCNXL2
CEP295	0.00000000000098069592019099	0.932744212660159	0.351	0.086	0.0000000202141043069767	1	CEP295
